"Day","親項目","ID","サブステップ"
"Day 1","[1] デザイン作成","1-1","事前設定（Product prototype・Design system を None にリセット・モデル/Effort=Opus/High）"
"Day 1","[1] デザイン作成","1-2","サービス内容を伝えて LP 生成（3案出させる）"
"Day 1","[1] デザイン作成","1-3","3案から1つ選ぶ"
"Day 1","[1] デザイン作成","1-4","Tweaks／チャット／Mark up で調整・不要セクション削除"
"Day 1","[1] デザイン作成","1-5","zip でエクスポート"
"Day 1","SCREEN_SPEC.md 作成","S-1","ルートに SCREEN_SPEC.md を作成し自分のサービス内容に書き換え（[1] の生成待ち時間に並行）"
"Day 1","[2] フロント作成","2-1","リポジトリ作成・clone・ルートで Claude Code 起動（zip 配置）"
"Day 1","[2] フロント作成","2-2","プロンプトで SPA 生成（Vite+React+TS+Tailwind+shadcn/ui・React Router・wrangler.jsonc・全画面モック）"
"Day 1","[2] フロント作成","2-3","npm run dev で全画面を目視確認・修正依頼"
"Day 1","[2] フロント作成","2-4","dev ブランチに push"
"Day 1","[3] フロントデプロイ","3-1","wrangler インストール"
"Day 1","[3] フロントデプロイ","3-2","wrangler login / whoami でアカウント確認"
"Day 1","[3] フロントデプロイ","3-3","npm run build"
"Day 1","[3] フロントデプロイ","3-4","wrangler deploy"
"Day 1","[3] フロントデプロイ","3-5","発行 URL で LP 表示確認"
"Day 1","URL の公開","U-1","公開 URL をチャットに貼って共有"
"Day 2","[4] バック作成","4-1","Hono 雛形作成（backend/）・GET / 確認"
"Day 2","[4] バック作成","4-2","D1/KV 作成し wrangler.jsonc に登録（name はフロントと同一）"
"Day 2","[4] バック作成","4-3","API 実装（contact/ライセンス発行/me/検証。POST /api/contact・GET /api/me 固定）"
"Day 2","[4] バック作成","4-4","ローカル DB マイグレーション（db:migrate:local）"
"Day 2","[4] バック作成","4-5","フロントとバックを 1 Worker に統合（SPA フォールバック）"
"Day 2","[4] バック作成","4-6","モック表示を実 API 呼び出しに差し替え"
"Day 2","[4] バック作成","4-7","/code-review・/security-review → 修正 → push"
"Day 2","[4] バック作成","4-8","ブラウザ目視確認（LP・SPA ルーティング・未認証401・バリデーション400・正常系）"
"Day 2","[5] 自動テスト","5-1","docs/TEST.md（戦略）を書かせる"
"Day 2","[5] 自動テスト","5-2","人間が TEST.md をレビュー（4観点）"
"Day 2","[5] 自動テスト","5-3","テスト実装（vitest-pool-workers・fetch モック）"
"Day 2","[5] 自動テスト","5-4","npm test グリーン → push"
"Day 2","[6] デプロイ","6-1","wrangler.jsonc 確認・修正（binding id・assets）"
"Day 2","[6] デプロイ","6-2","リモート DB マイグレーション（db:migrate:remote）"
"Day 2","[6] デプロイ","6-3","backend/ から npm run deploy"
"Day 2","[6] デプロイ","6-4","本番 URL で動作確認（LP・/mypage・API 1つ）→ dev→main"
"Day 3","[7] メール ★☆☆","7-1","Resend ログイン・API キー作成・コピー"
"Day 3","[7] メール ★☆☆","7-2","実装＋.dev.vars.sample 追記、.dev.vars にキー投入、ローカル往復（onboarding@resend.dev）"
"Day 3","[7] メール ★☆☆","7-3","Resend Logs で Status 確認（200以外はエラー本文を AI へ）"
"Day 3","[7] メール ★☆☆","7-4","本番シークレット投入＋deploy → push"
"Day 3","[8] 決済 ★★★","8-1","①アカウント/キー準備（SSO・sk_test_・stripe login）"
"Day 3","[8] 決済 ★★★","8-2","②プラン2つ作成・Price ID 控え→.dev.vars、stripe.ts/license.ts 実装"
"Day 3","[8] 決済 ★★★","8-3","③ローカル Webhook 検証（stripe listen・whsec_・テストカード4242）"
"Day 3","[8] 決済 ★★★","8-4","④デプロイ→本番 Webhook 作成（checkout.session.completed・エンドポイント URL・本番 whsec 投入）→本番決済確認"
"Day 3","[8] 決済 ★★★","8-5","⑤success_url・マイページ紐付け（email 一致）"
"Day 3","[8] 決済 ★★★","8-6","二重発行防止/署名検証を確認 → push"
"Day 3","[9] ID連携 ★★☆","9-1","Clerk アプリ作成（Google SSO のみ）・2キーをコピー"
"Day 3","[9] ID連携 ★★☆","9-2","パッケージ導入＋キーを env にセット（置き場所を分ける）"
"Day 3","[9] ID連携 ★★☆","9-3","フロント：ClerkProvider で包む・/mypage ガード"
"Day 3","[9] ID連携 ★★☆","9-4","バック：モック認証を Clerk トークン検証に差し替え（@hono/clerk-auth）"
"Day 3","[9] ID連携 ★★☆","9-5","ローカル確認（未ログイン /mypage 誘導・/api/me 401）"
"Day 3","[9] ID連携 ★★☆","9-6","本番シークレット投入・deploy・本番確認（許可オリジン登録）→ push"
"Day 3","[10] 運用保守 ★☆☆","10-1","Cloudflare API トークン作成（Analytics/Read）→ .cf-ops.token 保存"
"Day 3","[10] 運用保守 ★☆☆","10-2","運用スキルを作らせる（infra-status/cf-log-check/fault-localize/remediate/cost-monitor＋ops-check）"
"Day 3","[10] 運用保守 ★☆☆","10-3","「運用チェックして」で最低1つ動作確認 → push"
"Day 3","[11] セキュリティ ★★★","11-1","観点確認（認証境界・IDOR・機密マスク）"
"Day 3","[11] セキュリティ ★★★","11-2","/security-review で点検"
"Day 3","[11] セキュリティ ★★★","11-3","SonarCloud 設定（main push・Only select repositories・解析）"
"Day 3","[11] セキュリティ ★★★","11-4","指摘を AI とレビュー→最低1つ修正（余裕あれば回帰テスト）→ push"
"Day 3","[12] テスト設計 ★★★（新設）","12-1","対象を1機能に絞り機能名をつける"
"Day 3","[12] テスト設計 ★★★（新設）","12-2","「あるべき動作」を自分の言葉で書く（3問）"
"Day 3","[12] テスト設計 ★★★（新設）","12-3","AI に期待動作表へ展開→docs/TEST.md、期待結果を自分で埋める"
"Day 3","[12] テスト設計 ★★★（新設）","12-4","「書く」列に ◎（リスクで絞る）"
"Day 3","[12] テスト設計 ★★★（新設）","12-5","◎の行を AI 実装→npm test グリーン"
"Day 3","[12] テスト設計 ★★★（新設）","12-6","わざと壊して赤を確認＋敵対レビュー → push"
